timestamp,x,y,z,User,Epilepsy
1654852049817.9397,-0.17800000000000002,0.965,-0.36,0,0
1654852049818.63,-0.17300000000000001,0.953,-0.37,0,0
1654852049819.0117,-0.17,0.946,-0.36,0,0
1654852049819.326,-0.16899999999999998,0.927,-0.36,0,0
1654852049819.704,-0.174,0.871,-0.37,0,0
1654852049820.0806,-0.184,0.83,-0.36,0,0
1654852049820.383,-0.18100000000000002,0.848,-0.36,0,0
1654852049820.6606,-0.165,0.871,-0.36,0,0
1654852049821.0938,-0.155,0.878,-0.35,0,0
1654852049821.3682,-0.16399999999999998,0.893,-0.33,0,0
1654852049821.64,-0.2,0.973,-0.34,0,0
1654852049822.09,-0.18,0.9840000000000001,-0.35,0,0
1654852049822.3953,-0.11699999999999999,0.983,-0.36,0,0
1654852049922.2222,-0.146,0.932,-0.33,0,0
1654852049923.5188,-0.146,0.934,-0.32,0,0
1654852049923.9617,-0.145,0.953,-0.29,0,0
1654852049924.4082,-0.13699999999999998,0.9359999999999999,-0.27,0,0
1654852049925.1091,-0.134,0.9309999999999999,-0.27,0,0
1654852049925.4458,-0.131,0.9179999999999999,-0.28,0,0
1654852049925.8635,-0.125,0.922,-0.28,0,0
1654852050026.8706,-0.122,0.9359999999999999,-0.3,0,0
1654852050027.4302,-0.13,0.934,-0.31,0,0
1654852050027.8274,-0.136,0.904,-0.31,0,0
1654852050028.2026,-0.14,0.879,-0.32,0,0
1654852050028.577,-0.141,0.8759999999999999,-0.32,0,0
1654852050028.9475,-0.128,0.885,-0.32,0,0
1654852050029.315,-0.166,0.9690000000000001,-0.32,0,0
1654852050029.6824,-0.184,0.965,-0.32,0,0
1654852050030.0586,-0.195,0.948,-0.32,0,0
1654852050030.4268,-0.198,0.925,-0.32,0,0
1654852050126.5396,-0.19399999999999998,0.889,-0.31,0,0
1654852050127.0947,-0.187,0.85,-0.32,0,0
1654852050127.5005,-0.182,0.83,-0.34,0,0
1654852050127.9724,-0.17800000000000002,0.813,-0.35,0,0
1654852050128.3416,-0.18100000000000002,0.821,-0.34,0,0
1654852050128.6467,-0.19699999999999998,0.8340000000000001,-0.33,0,0
1654852050129.0237,-0.209,0.857,-0.33,0,0
1654852050129.3809,-0.214,0.879,-0.37,0,0
1654852050129.6538,-0.212,0.862,-0.39,0,0
1654852050230.0825,-0.201,0.852,-0.39,0,0
1654852050232.2383,-0.191,0.85,-0.37,0,0
1654852050234.2449,-0.175,0.9059999999999999,-0.39,0,0
1654852050235.9731,-0.161,0.961,-0.41,0,0
1654852050237.6382,-0.161,0.9990000000000001,-0.42,0,0
1654852051455.7778,-0.166,0.9690000000000001,-0.32,0,0
1654852051456.583,-0.184,0.965,-0.32,0,0
1654852051456.9663,-0.195,0.948,-0.32,0,0
1654852051457.3032,-0.198,0.925,-0.32,0,0
1654852051457.6355,-0.19399999999999998,0.889,-0.31,0,0
1654852051457.9731,-0.187,0.85,-0.32,0,0
1654852051458.3206,-0.182,0.83,-0.34,0,0
1654852051458.637,-0.17800000000000002,0.813,-0.35,0,0
1654852051458.9705,-0.18100000000000002,0.821,-0.34,0,0
1654852051459.2932,-0.209,0.857,-0.33,0,0
1654852051459.617,-0.214,0.879,-0.37,0,0
1654852051459.9387,-0.212,0.862,-0.39,0,0
1654852051460.265,0.086,0.961,-0.18600000000000003,0,0
1654852051460.6008,0.077,1.0290000000000001,-0.303,0,0
1654852051559.4216,0.064,1.0090000000000001,-0.287,0,0
1654852051560.0796,0.039,1.058,-0.314,0,0
1654852051560.451,0.01,1.139,-0.385,0,0
1654852051560.7815,-0.005,1.061,-0.34,0,0
1654852051561.1265,-0.0,1.0090000000000001,-0.3,0,0
1654852051561.449,-0.012,0.9690000000000001,-0.26,0,0
1654852051561.8008,-0.006,0.9440000000000001,-0.22,0,0
1654852051562.1294,0.019,0.937,-0.17300000000000001,0,0
1654852051562.462,0.052000000000000005,0.917,-0.12300000000000001,0,0
1654852051660.5898,0.08199999999999999,0.875,-0.095,0,0
1654852051661.3882,0.098,0.8859999999999999,-0.067,0,0
1654852051661.7686,0.094,0.907,-0.048,0,0
1654852051662.126,-0.033,0.89,-0.33,0,0
1654852051662.4648,-0.081,0.9229999999999999,-0.39,0,0
1654852051662.7883,-0.145,1.042,-0.48,0,0
1654852051663.1218,-0.271,1.101,-0.48,0,0
1654852051663.5403,-0.31,1.035,-0.48,0,0
1654852051763.5874,-0.295,0.938,-0.49,0,0
1654852051764.1384,-0.278,0.96,-0.46,0,0
1654852051764.6082,-0.255,0.977,-0.37,0,0
1654852051764.9707,-0.242,0.985,-0.19,0,0
1654852051765.3574,-0.253,0.912,-0.15,0,0
1654852051765.8247,-0.255,0.956,-0.11,0,0
1654852051766.1963,-0.248,1.023,-0.1,0,0
1654852051766.5063,-0.23399999999999999,1.0070000000000001,-0.1,0,0
